catid,lat,lng,Description,Name,PHOTOURL,Opening_Hours
TouristAttraction,103.82033,1.25675,Experience endless excitement at Resorts World Sentosa with a variety of attractions and entertainment hot spots.,"Resorts World Sentosa, Singapore",www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/recreation-leisure/resorts-world-sentosa-carousel01-rect.jpg,updating
TouristAttraction,103.817589,1.280569,This 10-km stretch of connecting trails lets you walk among the trees to observe a wide variety of flora and fauna in their natural habitat.,Singapore Garden & Singapore Park,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/recreation-leisure/resorts-world-sentosa-carousel01-rect.jpg,updating
TouristAttraction,103.730149,1.44672,This ecological wonder will transport you into a world rich in animal and plant life.,Sungei Buloh,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/the-southern-ridges-carousel01-rect.jpg,updating
TouristAttraction,103.8194932,1.2573549,"Immerse yourself underwater at the S.E.A. Aquarium™ and discover more than 100,000 marine animals.",S.E.A. Aquarium,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/sungei-buloh-wetland-reserve-carousel01-rect.jpg,updating
TouristAttraction,103.84676,1.28848,"Get to know historic Singapore River and its famous quays: Boat Quay, Clarke Quay and Robertson Quay. After all, this is where it all began.",Singapore River: History & Culture Tours,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/places-to-see/singapore-river-carousel01-rect.jpg,updating
TouristAttraction,103.90448,1.30589,"Discover Peranakan culture as you stroll past heritage shophouses, quaint stores and eateries in this charming corner of eastern Singapore.",Joo Chiat/Katong: Singapore Peranakan Neighbourhood,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/places-to-see/joochiat-katong-carousel01-rect.jpg,updating
TouristAttraction,103.82809,1.24883,"Sentosa Island is Singapore’s favourite leisure destination with exciting attractions, golden beaches, luxe retreats and the country’s first integrated resort.","Sentosa Island, Singapore: Leisure & Attractions",www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/places-to-see/sentosa-carousel01-rect-norender.jpg,updating
TouristAttraction,103.843771,1.2817,"Singapore’s historic Chinatown is a bustling mix of old and new, filled with traditional shops and markets as well as cool stores and cafes.",Chinatown Singapore: History & Culture,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/places-to-see/chinatown-carousel01-rect.jpg,updating
TouristAttraction,103.84438,1.28162,This Tang-styled Chinese Buddhist temple in Chinatown gets its name from what the Buddhists regard as the Sacred Buddha Tooth Relic.,Buddha Tooth Relic Temple & Museum in Singapore,UPDATING,updating
TouristAttraction,103.851356,1.290141,Take in the region’s newest and largest museum of modern Singapore and Southeast Asian art housed within two of Singapore’s awe-inspiring national monuments.,National Gallery Singapore,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/arts/1095-national-gallery-singapore-carousel-01-rec.jpg,updating
TouristAttraction,103.823808,1.254042,Step into the glamorous world of movies at this world-class theme park located within Resorts World Sentosa™.,Universal Studios Singapore™ Theme Park,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/recreation-leisure/universal-studios-singapore-carousel01-rect.jpg,updating
TouristAttraction,103.735872,1.33295,This enlightening attraction holds the largest collection of educational materials devoted to science in Singapore.,Singapore Science Centre,UPDATING,updating
TouristAttraction,103.84887,1.28292,Fuk Tak Chi Museum was once the oldest Chinese temple in Singapore and is an elegant example of restored architecture in Chinatown.,Fuk Tak Chi Museum & Places of Interest,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/fuk-tak-chi-carousel02-rect.jpg,updating
TouristAttraction,103.90714,1.30726,"Step into this fully restored bona fide Peranakan family home, and admire the many antiques and heirlooms worthy of any museum collection.",Katong Antique House Singapore: Peranakan Heritage,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/culture-heritage/katong-antique-house-carousel01-rect.jpg,updating
TouristAttraction,103.73,1.338611,A tranquil patch of imperial China in the west of Singapore is pleasant respite from the bustle of the city.,Chinese Garden Singapore,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/chinese-garden-carousel01-rect.jpg,updating
TouristAttraction,103.912187,1.300784,"With so many attractions packed into this 15-km stretch of beaches, you’ll never run out of things to do.",East Coast Park Singapore,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/east-coast-park-carousel03-rect.jpg,updating
TouristAttraction,103.846509,1.295382,"Whether you’re a history buff, music fan or nature lover, this historic landmark on a hill is full of surprises.",Fort Canning Park,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/fort-canning-park-carousel01-rect.jpg,updating
TouristAttraction,103.8605232,1.2230965,"If youâ€™re looking for local heritage off the beaten track with a good dash of nature, Kusu Island hits the spot.","Kusu Island, Singapore",UPDATING,updating
TouristAttraction,103.706442,1.318706,"Jurong Bird Park has almost every species to impress avian lovers, along with fun exhibits, interactive shows, and of course, its charming residents.","Jurong Bird Park, Singapore: Attractions & Things to Do",www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/jurong-bird-park-carousel01-rect.jpg,updating
TouristAttraction,103.799724,1.279069,Lose yourself in this dreamscape of stunning gardens that will make you forget the bustle of city.,HortPark,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/nature-wildlife/hortpark-carousel01-rect.jpg,updating
TouristAttraction,103.8195254,1.2573388,Make a big splash at this aquatic adventure park at Resorts World™ Sentosa.,Adventure Cove Waterpark™ Singapore,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/recreation-leisure/adventure-cove-carousel01-rect.jpg,updating
TouristAttraction,103.8516,1.3029,How can something that fits so perfectly into a cityscape evoke nature as well? It all lies in the design of Lasalle College of the Arts.,Lasalle College of the Arts,www.yoursingapore.com/content/dam/desktop/global/see-do-singapore/architecture/lasalle-college-of-the-arts-carousel01-rect.jpg,updating
